table,DATE,TABLE_NAME,TOTAL_ROWS_ADDED
SOURCE.LABSG_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,170
SOURCE.CITELINE_ORGANIZATION.ORGANIZATION,9/19/2025,ORGANIZATION,46
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITEPERSONROLE,9/19/2025,STUDYSITEPERSONROLE,144
SOURCE.LABUS_CLINTRAKPROXY.STUDYEVENT,9/19/2025,STUDYEVENT,194
SOURCE.CITELINE_ORGANIZATIONTRIAL.ORGANIZATIONTRIALS,9/19/2025,ORGANIZATIONTRIALS,15
SOURCE.LABBE_CLINTRAKPROXY.LABSAMPLE,9/19/2025,LABSAMPLE,2170
SOURCE.LABBE_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,8
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYORGANIZATIONROLE,9/19/2025,STUDYORGANIZATIONROLE,49
SOURCE.LABSG_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,0
SOURCE.LABUS_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,7
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYREGSUBSETTINGS,9/19/2025,STUDYREGSUBSETTINGS,0
SOURCE.CITELINE_ORGANIZATIONHIERARCHY.ORGANIZATIONHIERARCHY,9/19/2025,ORGANIZATIONHIERARCHY,0
SOURCE.LABCN_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,0
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.SITE,9/19/2025,SITE,4
SOURCE.CLINTRAKSTUDYMANAGEMENT_CLINTRAKPROXY.STUDYSITE,9/19/2025,STUDYSITE,5
SOURCE.LABBE_CLINTRAKPROXY.SUBJECT,9/19/2025,SUBJECT,30
